CustomerCD,CustomerName,Gender,Age,BirthDate
CT1001,"Braund, Mr. Owen Harris",male,32,1990-11-28
CT1002,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,48,1975-04-25
CT1003,"Heikkinen, Miss. Laina",female,36,1987-01-04
CT1004,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,45,1978-03-28
CT1005,"Allen, Mr. William Henry",male,45,1978-03-28
CT1006,"Moran, Mr. James",male,27,2012-05-08
CT1007,"McCarthy, Mr. Timothy J",male,64,1959-09-20
CT1008,"Palsson, Master. Gosta Leonard",male,12,2010-05-27
CT1009,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,37,1986-01-13
CT1010,"Nasser, Mrs. Nicholas (Adele Achem)",female,24,1998-09-15
CT1011,"Sandstrom, Miss. Marguerite Rut",female,14,2008-06-14
CT1012,"Bonnell, Miss. Elizabeth",female,68,1955-10-27
CT1013,"Saundercock, Mr. William Henry",male,30,1992-11-09
CT1014,"Andersson, Mr. Anders Johan",male,49,1974-05-04
CT1015,"Vestrom, Miss. Hulda Amanda Adolfina",female,24,1998-09-15
CT1016,"Hewlett, Mrs. (Mary D Kingcome) ",female,65,1958-09-29
CT1017,"Rice, Master. Eugene",male,12,2010-05-27
CT1018,"Williams, Mr. Charles Eugene",male,27,2012-05-08
CT1019,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,41,1982-02-19
CT1020,"Masselmani, Mrs. Fatima",female,27,2012-05-08
CT1021,"Fynney, Mr. Joseph J",male,45,1978-03-28
CT1022,"Beesley, Mr. Lawrence",male,44,1979-03-19
CT1023,"McGowan, Miss. Anna ""Annie""",female,25,1997-09-24
CT1024,"Sloper, Mr. William Thompson",male,38,1985-01-22
CT1025,"Palsson, Miss. Torborg Danira",female,18,2004-07-21
CT1026,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,48,1975-04-25
CT1027,"Emir, Mr. Farred Chehab",male,27,2012-05-08
CT1028,"Fortune, Mr. Charles Alexander",male,29,1993-10-31
CT1029,"O'Dwyer, Miss. Ellen ""Nellie""",female,,2012-05-08
CT1030,"Todoroff, Mr. Lalio",male,27,2012-05-08
CT1031,"Uruchurtu, Don. Manuel E",male,50,1973-05-13
CT1032,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,27,2012-05-08
CT1033,"Glynn, Miss. Mary Agatha",female,27,2012-05-08
CT1034,"Wheadon, Mr. Edward H",male,76,1948-01-09
CT1035,"Meyer, Mr. Edgar Joseph",male,38,1985-01-22
CT1036,"Holverson, Mr. Alexander Oskar",male,52,1971-06-01
CT1037,"Mamee, Mr. Hanna",male,27,2012-05-08
