 year , household , total , male , female , k_total , k_male , k_female , f_total , f_male , f_female , older_65 
1996 ,3457 ,10470 ,5258 ,5212 ,10418 ,5231 ,5187 ,52 ,27 ,25 ,469 
1997 ,3499 ,10389 ,5214 ,5175 ,10336 ,5187 ,5150 ,53 ,28 ,25 ,485 
1998 ,3459 ,10321 ,5174 ,5148 ,10271 ,5147 ,5124 ,51 ,27 ,24 ,505 
1999 ,3491 ,10321 ,5171 ,5151 ,10264 ,5141 ,5123 ,57 ,30 ,28 ,530 
2000 ,3540 ,10373 ,5198 ,5175 ,10311 ,5167 ,5145 ,62 ,32 ,30 ,560 
2001 ,3570 ,10331 ,5176 ,5155 ,10263 ,5142 ,5122 ,68 ,34 ,34 ,586 
2002 ,3624 ,10281 ,5145 ,5136 ,10207 ,5109 ,5098 ,73 ,36 ,37 ,613 
2003 ,3715 ,10277 ,5134 ,5143 ,10174 ,5085 ,5089 ,103 ,49 ,54 ,650 
2004 ,3780 ,10288 ,5129 ,5159 ,10173 ,5075 ,5098 ,115 ,54 ,61 ,693 
2005 ,3871 ,10297 ,5124 ,5173 ,10167 ,5062 ,5105 ,130 ,61 ,68 ,736 
2006 ,3979 ,10356 ,5145 ,5211 ,10181 ,5062 ,5119 ,175 ,83 ,92 ,787 
2007 ,4046 ,10422 ,5175 ,5247 ,10193 ,5063 ,5130 ,229 ,111 ,118 ,852 
2008 ,4098 ,10456 ,5185 ,5271 ,10201 ,5062 ,5139 ,255 ,123 ,132 ,899 
2009 ,4117 ,10464 ,5181 ,5283 ,10208 ,5059 ,5149 ,256 ,122 ,134 ,943 
2010 ,4224 ,10575 ,5237 ,5339 ,10313 ,5111 ,5201 ,263 ,125 ,137 ,1008 
2011 ,4193 ,10529 ,5208 ,5320 ,10250 ,5074 ,5176 ,279 ,135 ,145 ,1049 
2012 ,4178 ,10442 ,5160 ,5283 ,10195 ,5041 ,5154 ,247 ,118 ,129 ,1111 
2013 ,4182 ,10388 ,5126 ,5262 ,10144 ,5008 ,5136 ,244 ,118 ,126 ,1167 
2014 ,4194 ,10370 ,5109 ,5261 ,10103 ,4980 ,5123 ,266 ,129 ,137 ,1222 
2015 ,4190 ,10297 ,5064 ,5234 ,10022 ,4931 ,5091 ,275 ,133 ,142 ,1268 
2016 ,4190 ,10204 ,5007 ,5197 ,9931 ,4877 ,5054 ,273 ,131 ,143 ,1301 
2017 ,4220 ,10125 ,4958 ,5167 ,9857 ,4830 ,5027 ,267 ,128 ,140 ,1365 
2018 ,4264 ,10050 ,4911 ,5139 ,9766 ,4774 ,4992 ,284 ,137 ,147 ,1416 
2019 ,4328 ,10011 ,4878 ,5133 ,9729 ,4744 ,4985 ,282 ,134 ,148 ,1485 
2020 ,4418 ,9911 ,4817 ,5095 ,9668 ,4702 ,4967 ,243 ,115 ,128 ,1568 
